State Code,Firms,Labeler codecode Product Package Size,Product code,Package size Size,Period Covered,FDA Approved drug name,Generic/Brand,Application #,Comments,Gen availability,Name of Gen,Date of Gen availability,Price issue,ANDA APP#,Units Reimbursed,No. of Prescriptions,Total Amount Reimbursed,Medicaid Amount Reimbursed,Non-Medicaid Amount Reimbursed,,,
MA,,2,8501,1,20003,HUMULIN R ,Brand,18780,,NoTE,,,,,120,6,617.28,0,0,,,
MA,,2,8501,1,20004,HUMULIN R ,Brand,18780,,NoTE,,,,,420,15,2727.78,0,0,,,
MA,,2,8615,1,20001,HUMULIN U ,,,,,,,,,5940,375,12201.88,0,0,,,
MA,,2,8615,1,20002,HUMULIN U ,,,,,,,,,6330,373,13651.84,0,0,,,
MA,,2,8615,1,20003,HUMULIN U ,,,,,,,,,8450,392,13642.19,0,0,,,
MA,,2,8615,1,20004,HUMULIN U ,,,,,,,,,7310,361,13508.57,0,0,,,
MA,,2,2123,2,20001,ISONIAZID ,,,,,,,,,65,2,9.12,0,0,,,
MA,,2,2123,2,20002,ISONIAZID ,,,,,,,,,30,1,3.55,0,0,,,
MA,,2,2123,2,20003,ISONIAZID ,,,,,,,,,245,7,33.63,0,0,,,
MA,,2,2123,2,20004,ISONIAZID ,,,,,,,,,30,1,4.05,0,0,,,
MA,,2,7271,25,20002,KEFUROX   ,,,,,,,,,16,1,102.2,0,0,,,
MA,,2,7271,25,20004,KEFUROX   ,,,,,,,,,38,2,241.6,0,0,,,
MA,,2,1498,1,20002,KEFZOL    ,,,,,,,,,40,4,115.6,0,0,,,
MA,,2,1498,1,20003,KEFZOL    ,,,,,,,,,8,1,23.62,0,0,,,
MA,,2,1498,1,20004,KEFZOL    ,,,,,,,,,3,1,9.6,0,0,,,
MA,,2,1498,25,20002,KEFZOL    ,,,,,,,,,14,2,41.96,0,0,,,
MA,,2,1498,25,20003,KEFZOL    ,,,,,,,,,180,2,480.2,0,0,,,
MA,,2,8410,1,20001,LENTE ILET,,,,,,,,,290,17,727.89,0,0,,,
MA,,2,8410,1,20002,LENTE ILET,,,,,,,,,70,3,176.77,0,0,,,
MA,,2,8410,1,20003,LENTE ILET,,,,,,,,,40,2,96.59,0,0,,,
MA,,2,8411,1,20001,LENTE ILET,,,,,,,,,140,8,580.34,0,0,,,
MA,,2,8411,1,20002,LENTE ILET,,,,,,,,,70,5,305.06,0,0,,,
MA,,2,8411,1,20003,LENTE ILET,,,,,,,,,60,4,257.88,0,0,,,
MA,,2,8411,1,20004,LENTE ILET,,,,,,,,,80,5,344.73,0,0,,,
MA,,2,3170,30,20001,LORABID   ,,,,,,,,,2145,90,6158.25,0,0,,,
MA,,2,3170,30,20002,LORABID   ,,,,,,,,,1706,68,4790.8,0,0,,,
MA,,2,3170,30,20003,LORABID   ,,,,,,,,,1311,48,3416.99,0,0,,,
MA,,2,3170,30,20004,LORABID   ,,,,,,,,,1207,47,3425.09,0,0,,,
MA,,2,3171,30,20001,LORABID   ,,,,,,,,,4397,209,16031.39,0,0,,,
MA,,2,3171,30,20002,LORABID   ,,,,,,,,,3273,149,11894.53,0,0,,,
MA,,2,3171,30,20003,LORABID   ,,,,,,,,,2773,129,9983.52,0,0,,,
MA,,2,3171,30,20004,LORABID   ,,,,,,,,,4060,181,15899.41,0,0,,,
MA,,2,5135,48,20001,LORABID   ,,,,,,,,,7750,68,2069.26,0,0,,,
MA,,2,5135,48,20002,LORABID   ,,,,,,,,,5250,45,1336.6,0,0,,,
MA,,2,5135,48,20003,LORABID   ,,,,,,,,,3100,29,821.51,0,0,,,
MA,,2,5135,48,20004,LORABID   ,,,,,,,,,5150,45,1444.82,0,0,,,
MA,,2,5135,87,20001,LORABID   ,,,,,,,,,300,5,97.87,0,0,,,
MA,,2,5135,87,20002,LORABID   ,,,,,,,,,150,2,47.44,0,0,,,
MA,,2,5135,87,20003,LORABID   ,,,,,,,,,150,1,44.44,0,0,,,
MA,,2,5135,87,20004,LORABID   ,,,,,,,,,50,1,16.81,0,0,,,
MA,,2,5136,18,20001,LORABID   ,,,,,,,,,150,2,70.56,0,0,,,
MA,,2,5136,18,20002,LORABID   ,,,,,,,,,750,7,343.83,0,0,,,
MA,,2,5136,18,20003,LORABID   ,,,,,,,,,225,3,105.34,0,0,,,
MA,,2,5136,18,20004,LORABID   ,,,,,,,,,300,3,102.85,0,0,,,
MA,,2,5136,48,20001,LORABID   ,,,,,,,,,33980,282,12663.08,0,0,,,
MA,,2,5136,48,20002,LORABID   ,,,,,,,,,28250,239,11833.69,0,0,,,
MA,,2,5136,48,20003,LORABID   ,,,,,,,,,15800,137,7403.06,0,0,,,
MA,,2,5136,48,20004,LORABID   ,,,,,,,,,19900,169,9753.58,0,0,,,
MA,,2,5136,87,20001,LORABID   ,,,,,,,,,1950,24,879.28,0,0,,,
MA,,2,5136,87,20002,LORABID   ,,,,,,,,,900,10,435.12,0,0,,,
MA,,2,5136,87,20003,LORABID   ,,,,,,,,,500,6,248.62,0,0,,,
MA,,2,5136,87,20004,LORABID   ,,,,,,,,,1050,13,559.06,0,0,,,
MA,,2,2549,2,20001,MORPHINE S,,,,,,,,,445,5,61.47,0,0,,,
MA,,2,2549,2,20002,MORPHINE S,,,,,,,,,70,3,27.38,0,0,,,
MA,,2,2551,2,20001,MORPHINE S,,,,,,,,,30,1,18.25,0,0,,,
MA,,2,2551,2,20004,MORPHINE S,,,,,,,,,12,2,12.1,0,0,,,
MA,,2,1499,25,20001,NEBCIN    ,,,,,,,,,514,8,1547.73,0,0,,,
MA,,2,1499,25,20002,NEBCIN    ,,,,,,,,,4,1,15.96,0,0,,,
MA,,2,1499,25,20003,NEBCIN    ,,,,,,,,,262,4,505.08,0,0,,,
MA,,2,1499,25,20004,NEBCIN    ,,,,,,,,,8,2,32.2,0,0,,,
MA,,2,7040,16,20001,NEBCIN    ,,,,,,,,,4,1,435.47,0,0,,,
MA,,2,7040,16,20004,NEBCIN    ,,,,,,,,,12,1,2963.14,0,0,,,
MA,,2,7090,16,20003,NEBCIN    ,,,,,,,,,60,2,206.3,0,0,,,
